"row ID","event_id","minute","xg_home","xg_away","cum_home","cum_away","received_at"
"Row7_24",8295,75,0,0.046,3.356,0.366,"2026-06-15T01:00:29.838Z"
"Row7_25",8295,76,0,0.037,3.356,0.402,"2026-06-15T01:00:29.838Z"
"Row7_26",8295,78,0.419,0,3.775,0.402,"2026-06-15T01:00:29.838Z"
"Row7_27",8295,86,0.029,0,3.804,0.402,"2026-06-15T01:00:29.838Z"
"Row7_28",8295,88,0.111,0,3.915,0.402,"2026-06-15T01:00:29.838Z"
"Row8_1",8296,3,0.063,0,0.063,0,"2026-06-15T04:00:29.838Z"
"Row8_2",8296,28,0,0.025,0.063,0.025,"2026-06-15T04:00:29.838Z"
"Row8_3",8296,34,0.103,0,0.167,0.025,"2026-06-15T04:00:29.838Z"
"Row8_4",8296,36,0.173,0,0.34,0.025,"2026-06-15T04:00:29.838Z"
"Row8_5",8296,43,0,0.057,0.34,0.082,"2026-06-15T04:00:29.838Z"
"Row8_6",8296,45,0,0.072,0.34,0.154,"2026-06-15T04:00:29.838Z"
"Row8_7",8296,51,0.11,0,0.45,0.154,"2026-06-15T04:00:29.838Z"
"Row8_8",8296,57,0,0.025,0.45,0.179,"2026-06-15T04:00:29.838Z"
"Row8_9",8296,64,0.019,0,0.469,0.179,"2026-06-15T04:00:29.838Z"
"Row8_10",8296,67,0,0.018,0.469,0.197,"2026-06-15T04:00:29.838Z"
"Row8_11",8296,73,0.138,0,0.607,0.197,"2026-06-15T04:00:29.838Z"
"Row8_12",8296,75,0,0.01,0.607,0.207,"2026-06-15T04:00:29.838Z"
"Row8_13",8296,76,0.095,0,0.701,0.207,"2026-06-15T04:00:29.838Z"
"Row8_14",8296,78,0,0.019,0.701,0.226,"2026-06-15T04:00:29.838Z"
"Row8_15",8296,80,0,0.156,0.701,0.382,"2026-06-15T04:00:29.838Z"
"Row8_16",8296,88,0,0.01,0.701,0.392,"2026-06-15T04:00:29.838Z"
"Row8_17",8296,89,0,0.147,0.701,0.539,"2026-06-15T04:00:29.838Z"
"Row8_18",8296,90,0.087,0,0.788,0.539,"2026-06-15T04:00:29.838Z"
"Row9_1",8297,2,0,0.03,0,0.03,"2026-06-15T07:00:30.095Z"
"Row9_2",8297,14,0,0.032,0,0.062,"2026-06-15T07:00:30.095Z"
"Row9_3",8297,16,0.13,0,0.13,0.062,"2026-06-15T07:00:30.095Z"
"Row9_4",8297,18,0.254,0,0.384,0.062,"2026-06-15T07:00:30.095Z"
"Row9_5",8297,23,0,0.022,0.384,0.084,"2026-06-15T07:00:30.095Z"
"Row9_6",8297,24,0,0.034,0.384,0.118,"2026-06-15T07:00:30.095Z"
"Row9_7",8297,30,0,0.415,0.384,0.533,"2026-06-15T07:00:30.095Z"
"Row9_8",8297,33,0.047,0,0.431,0.533,"2026-06-15T07:00:30.095Z"
"Row9_9",8297,35,0.317,0,0.747,0.533,"2026-06-15T07:00:30.095Z"
"Row9_10",8297,45,0.083,0,0.831,0.533,"2026-06-15T07:00:30.095Z"
"Row9_11",8297,46,0,0.029,0.831,0.562,"2026-06-15T07:00:30.095Z"
"Row9_12",8297,50,0.123,0,0.954,0.562,"2026-06-15T07:00:30.095Z"
"Row9_13",8297,52,0.249,0,1.203,0.562,"2026-06-15T07:00:30.095Z"
"Row9_14",8297,53,0.056,0,1.259,0.562,"2026-06-15T07:00:30.095Z"
"Row9_15",8297,56,0,0.051,1.259,0.613,"2026-06-15T07:00:30.095Z"
"Row9_16",8297,58,0.085,0,1.344,0.613,"2026-06-15T07:00:30.095Z"
"Row9_17",8297,61,0.056,0,1.4,0.613,"2026-06-15T07:00:30.095Z"
"Row9_18",8297,68,0,0.052,1.4,0.665,"2026-06-15T07:00:30.095Z"
"Row9_19",8297,83,0.064,0,1.464,0.665,"2026-06-15T07:00:30.095Z"
"Row9_20",8297,87,0,0.16,1.464,0.825,"2026-06-15T07:00:30.095Z"
"Row9_21",8297,88,0,0.045,1.464,0.87,"2026-06-15T07:00:30.095Z"
"Row9_22",8297,90,0.213,0.14,1.677,1.01,"2026-06-15T07:00:30.095Z"
"Row10_1",8298,5,0.077,0,0.077,0,"2026-06-15T10:00:30.270Z"
"Row10_2",8298,7,0.13,0,0.206,0,"2026-06-15T10:00:30.270Z"
"Row10_3",8298,18,0,0.03,0.206,0.03,"2026-06-15T10:00:30.270Z"
"Row10_4",8298,30,0.042,0,0.249,0.03,"2026-06-15T10:00:30.270Z"
