"row ID","event_id","sequence","received_at","xg","gml","min","sit","body","home","type","xgot","added","player_id","gm_x","gm_y","gm_z","pos_x","pos_y","pos_z","block_x","block_y","block_z","gtype"
"Row2_10",8290,9,"2026-06-13T09:00:28.665Z",0.0234,"low-right",65,"assisted","right-foot",0,"block",,,1710,0,46.4,19,13.6,33.4,0,12.1,35.6,0,
"Row2_11",8290,10,"2026-06-13T09:00:28.665Z",0.0646,"right",61,"regular","right-foot",1,"miss",,,2143,0,36.3,8.3,12.7,42.4,0,,,,
"Row2_12",8290,11,"2026-06-13T09:00:28.665Z",0.0851,"low-centre",57,"assisted","right-foot",1,"block",,,2143,0,49.7,19,12.7,60.3,0,9,57.4,0,
"Row2_13",8290,12,"2026-06-13T09:00:28.665Z",0.0308,"low-right",50,"corner","right-foot",0,"block",,,488,0,46.9,19,23.2,34.3,0,10.1,44.9,0,
"Row2_14",8290,13,"2026-06-13T09:00:28.665Z",0.0257,"low-left",49,"regular","right-foot",0,"block",,,488,0,52.5,19,12.2,67.1,0,11.1,65.3,0,
"Row2_15",8290,14,"2026-06-13T09:00:28.665Z",0.0173,"low-right",48,"regular","left-foot",0,"block",,,9678,0,47.6,8.3,24.1,59.7,0,11.8,54.9,0,
"Row2_16",8290,15,"2026-06-13T09:00:28.665Z",0.0182,"low-right",47,"throw-in-set-piece","right-foot",1,"block",,,2232,0,47.2,5.6,16.1,29.5,0,8.6,40.4,0,
"Row2_17",8290,16,"2026-06-13T09:00:28.665Z",0.1481,"high-left",45,"assisted","left-foot",1,"goal",0.9124,5,2232,0,54.3,32.9,12.8,56.5,0,,,,"regular"
"Row2_18",8290,17,"2026-06-13T09:00:28.665Z",0.2703,"low-centre",43,"regular","right-foot",1,"save",0.171,,2143,0,49.3,13.3,3.9,56.8,0,1.8,53.2,0,
"Row2_19",8290,18,"2026-06-13T09:00:28.665Z",0.0266,"close-right",38,"corner","head",1,"miss",,,423,0,42.7,4.2,10.2,45.4,0,,,,
"Row2_20",8290,19,"2026-06-13T09:00:28.665Z",0.0756,"low-centre",37,"regular","left-foot",1,"block",,,2143,0,50.4,19.4,18.3,55.8,0,14.4,54.1,0,
"Row2_21",8290,20,"2026-06-13T09:00:28.665Z",0.0833,"right",35,"assisted","head",1,"miss",,,2232,0,0.3,9.7,9.2,44.5,0,5.7,86.8,0,
"Row2_22",8290,21,"2026-06-13T09:00:28.665Z",0.1551,"low-right",31,"assisted","right-foot",1,"goal",0.4822,,2232,0,47.6,3.8,12.5,42,0,,,,"regular"
"Row2_23",8290,22,"2026-06-13T09:00:28.665Z",0.024,"left",14,"assisted","right-foot",0,"miss",,,1710,0,66.4,4.2,18.1,67.7,0,,,,
"Row2_24",8290,23,"2026-06-13T09:00:28.665Z",,"low-centre",7,"regular","right-foot",1,"goal",,,143,0,48.3,2.5,7.9,45.8,0,,,,"own"
"Row2_25",8290,24,"2026-06-13T09:00:28.665Z",0.0365,"low-centre",3,"assisted","right-foot",1,"save",0.1345,,2232,0,49.7,11.4,12.7,65.7,0,4.1,55.6,0,
"Row2_26",8290,25,"2026-06-13T09:00:28.665Z",0.0636,"close-high",2,"assisted","left-foot",0,"miss",0.3721,,488,0,48.4,58.3,1.8,35.4,0,0.099999999999994,46.2,0,
"Row3_1",8292,0,"2026-06-14T03:00:29.282Z",0.0107,"right",90,"corner","left-foot",0,"miss",,7,2005,0,14.3,31.9,20.8,32.1,0,,,,
"Row3_2",8292,1,"2026-06-14T03:00:29.282Z",0.1251,"low-right",90,"assisted","head",1,"goal",0.7499,4,53907,0,46.5,15.2,6.8,52.6,0,,,,"regular"
"Row3_3",8292,2,"2026-06-14T03:00:29.282Z",0.0189,"low-left",90,"assisted","right-foot",0,"block",,2,22868,0,52.2,19,22.9,38.8,0,19.7,40.1,0,
"Row3_4",8292,3,"2026-06-14T03:00:29.282Z",0.1683,"low-left",90,"assisted","right-foot",1,"save",0.0941,,53917,0,52.3,4.4,16,44.8,0,1.6,47.6,0,
"Row3_5",8292,4,"2026-06-14T03:00:29.282Z",0.0398,"low-left",86,"assisted","left-foot",0,"block",,,1178,0,53.4,19,19.1,49,0,16.9,48.7,0,
"Row3_6",8292,5,"2026-06-14T03:00:29.282Z",0.024,"close-left",81,"assisted","right-foot",0,"miss",,,1178,0,57,8.3,27.1,37.6,0,,,,
"Row3_7",8292,6,"2026-06-14T03:00:29.282Z",0.2845,"close-left",76,"assisted","right-foot",0,"miss",,,2811,0,57.7,2.8,7.2,32.7,0,,,,
"Row3_8",8292,7,"2026-06-14T03:00:29.282Z",0.1048,"low-centre",75,"assisted","right-foot",0,"save",0.073,,3803,0,49.3,10.1,11,32.7,0,1.6,46.6,0,
"Row3_9",8292,8,"2026-06-14T03:00:29.282Z",0.0199,"high",75,"assisted","right-foot",1,"miss",,,53916,0,53.1,70.8,26.5,32.8,0,,,,
"Row3_10",8292,9,"2026-06-14T03:00:29.282Z",0.0543,"low-left",72,"assisted","right-foot",0,"block",,,2404,0,53.5,19,16.4,48.6,0,14.6,48.4,0,
"Row3_11",8292,10,"2026-06-14T03:00:29.282Z",0.0354,"close-right",67,"assisted","left-foot",0,"miss",,,348,0,41.3,8.3,20.1,33.6,0,,,,
"Row3_12",8292,11,"2026-06-14T03:00:29.282Z",0.0494,"low-centre",63,"set-piece","left-foot",0,"block",,,2869,0,51,19,10.5,56.9,0,8.8,55.6,0,
"Row3_13",8292,12,"2026-06-14T03:00:29.282Z",0.0403,"close-right",51,"assisted","right-foot",0,"miss",,,551,0,41.2,31.9,3.2,66.2,0,,,,
"Row3_14",8292,13,"2026-06-14T03:00:29.282Z",0.0189,"close-high",49,"corner","left-foot",0,"miss",,,348,0,50.1,51.4,25.9,67.8,0,,,,
"Row3_15",8292,14,"2026-06-14T03:00:29.282Z",0.2643,"right",48,"set-piece","head",0,"miss",,,2869,0,10.8,27.8,3.9,47.7,0,3.6,50.4,0,
"Row3_16",8292,15,"2026-06-14T03:00:29.282Z",0.2022,"low-right",45,"assisted","right-foot",0,"save",,6,1660,0,47.1,19,12.9,54.8,0,1.2,53.1,0,
"Row3_17",8292,16,"2026-06-14T03:00:29.282Z",0.0659,"low-right",45,"assisted","right-foot",0,"block",,4,3616,0,47.5,19,11.7,44.5,0,6.8,47.8,0,
"Row3_18",8292,17,"2026-06-14T03:00:29.282Z",0.2418,"close-right",45,"assisted","right-foot",0,"miss",,3,3803,0,44,4.2,6.8,60,0,0.90000000000001,56.7,0,
"Row3_19",8292,18,"2026-06-14T03:00:29.282Z",0.0501,"low-centre",45,"assisted","left-foot",0,"save",0.1777,1,551,0,49.2,16.5,10.3,35.2,0,2.1,44.4,0,
"Row3_20",8292,19,"2026-06-14T03:00:29.282Z",0.0044,"right",44,"corner","left-foot",1,"miss",,,35888,0,15.5,18.1,26.6,36.8,0,17.9,50.5,0,
"Row3_21",8292,20,"2026-06-14T03:00:29.282Z",0.0555,"low-centre",43,"assisted","right-foot",1,"save",0.2358,,53911,0,48.8,3.8,12,62.4,0,1.8,53.8,0,
"Row3_22",8292,21,"2026-06-14T03:00:29.282Z",0.0874,"low-centre",42,"corner","right-foot",0,"block",,,2811,0,49.2,19,11.4,53.6,0,7.7,52.7,0,
"Row3_23",8292,22,"2026-06-14T03:00:29.282Z",0.0408,"right",35,"assisted","right-foot",0,"miss",,,551,0,38.2,19.4,9.4,66.9,0,,,,
"Row3_24",8292,23,"2026-06-14T03:00:29.282Z",0.0209,"low-centre",34,"assisted","left-foot",0,"block",,,551,0,50.4,19,13,72.2,0,10.2,67.3,0,
"Row3_25",8292,24,"2026-06-14T03:00:29.282Z",0.079,"high-right",30,"corner","head",1,"miss",,,53910,0,39.8,65.3,8,50.3,0,,,,
"Row3_26",8292,25,"2026-06-14T03:00:29.282Z",0.0155,"low-right",21,"assisted","right-foot",0,"block",,,3803,0,48.1,19,19.4,20.1,0,16.7,24.5,0,
"Row3_27",8292,26,"2026-06-14T03:00:29.282Z",0.1949,"low-right",21,"assisted","right-foot",0,"save",0.2297,,3616,0,47.1,3.8,5.4,66.1,0,1.1,55.2,0,
"Row3_28",8292,27,"2026-06-14T03:00:29.282Z",0.7884,"low-left",17,"penalty","right-foot",0,"goal",0.7168,,2811,0,53.7,12,11.5,50,0,,,,"penalty"
"Row3_29",8292,28,"2026-06-14T03:00:29.282Z",0.285,"low-centre",12,"set-piece","left-foot",0,"save",0.1804,,1679,0,49.6,8.2,7,46.4,0,1.6,49.1,0,
"Row3_30",8292,29,"2026-06-14T03:00:29.282Z",0.2222,"close-high",10,"assisted","left-foot",0,"miss",,,551,0,52.3,59.7,11.1,47.2,0,,,,
"Row3_31",8292,30,"2026-06-14T03:00:29.282Z",0.0251,"low-left",6,"assisted","right-foot",0,"save",0.0953,,551,0,52,2.5,13,66.1,0,1.5,52.7,0,
"Row3_32",8292,31,"2026-06-14T03:00:29.282Z",0.3124,"low-centre",2,"regular","right-foot",1,"save",0.3468,,53911,0,51.7,3.8,9.2,35.9,0,6.6,40.1,0,
"Row3_33",8292,32,"2026-06-14T03:00:29.282Z",0.0593,"low-centre",1,"assisted","right-foot",0,"block",,,2811,0,51.5,19,19.5,49.3,0,14.4,49.1,0,
"Row4_1",8293,0,"2026-06-14T06:00:29.420Z",0.1708,"low-right",90,"regular","right-foot",0,"save",0.3906,9,8503,0,46.6,5.7,2.6,58.3,0,1.9,57,0,
