"row ID","n","name","pos","x","y","player_id","side","event_id","received_at"
"Row1520",43,"A. Nusa","F",69.1,73.4,2897,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1521",59,"P. Berg","M",53.4,64.1,3673,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1522",39,"A. Sørloth","F",58.9,23.4,774,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1523",20,"M. Pedersen","M",47.7,58.9,1838,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1524",38,"A. Schjelderup","M",40.1,83.3,2064,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1525",60,"Ø. Nyland","G",10.6,51.1,1561,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1526",37,"O. Bobb","M",72.8,19.2,3651,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1527",55,"T. Heggem","D",30.5,72.9,957,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1528",117,"M. Ødegaard","M",53.7,36.7,447,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1529",20,"L. Østigård","D",42.2,59.7,2590,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1530",67,"F. Aursnes","M",51.5,33.1,2056,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1531",85,"K. Ajer","D",31.8,37.9,464,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1532",7,"J. Larsen","F",68,80.2,531,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1533",45,"D. M. Wolfe","D",37.1,87,529,"home",8385,"2026-07-12T05:01:21.622Z"
"Row3142",49,"H. Kane","F",54.3,55.4,2466,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3143",101,"M. Guéhi","D",40.7,66.9,425,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3144",43,"E. Eze","M",58.9,73.1,454,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3145",52,"D. Rice","M",55.4,43.2,449,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3146",57,"N. O’Reilly","D",49.8,80.2,847,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3147",34,"N. Madueke","F",69.1,15.7,450,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3148",25,"M. Rogers","M",49.1,69.5,511,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3149",37,"D. Spence","D",44.1,80.3,735,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3150",5,"D. Burn","D",25.7,65.2,701,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3151",102,"J. Stones","D",42.9,35.3,854,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3152",57,"J. Pickford","G",11.5,48.8,803,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3153",52,"R. James","D",48.6,25.9,400,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3154",119,"E. Anderson","M",49.2,56.8,548,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3155",75,"E. Konsa","D",49.9,17.6,504,"away",8385,"2026-07-12T05:01:21.622Z"
