"row ID","event_id","received_at","home_duels","home_fouls","home_passes","home_tackles","home_offsides","home_big_saves","home_throw_ins","home_clearances","home_free_kicks","home_goal_kicks","home_recoveries","home_big_chances","home_tackles_won","home_total_saves","home_total_shots","home_corner_kicks","home_dispossessed","home_hit_woodwork","home_yellow_cards","home_blocked_shots","home_interceptions","home_through_balls","home_total_tackles","home_expected_goals","home_accurate_passes","home_ball_possession","home_goals_prevented","home_shots_on_target","home_goalkeeper_saves","home_shots_inside_box","home_shots_off_target","home_shots_outside_box","home_big_chances_missed","home_big_chances_scored","home_final_third_entries","home_fouled_in_final_third","home_touches_in_penalty_area","home_attack","home_ball_safe","home_dangerous_attack","home_attack_pct","home_ball_safe_pct","home_dangerous_attack_pct","home_pass_accuracy_pct","home_crosses_value","home_crosses_total","home_crosses_pct","home_dribbles_value","home_dribbles_total","home_dribbles_pct","home_long_balls_value","home_long_balls_total","home_long_balls_pct","home_aerial_duels_value","home_aerial_duels_total","home_aerial_duels_pct","home_ground_duels_value","home_ground_duels_total","home_ground_duels_pct","home_final_third_phase_value","home_final_third_phase_total","home_final_third_phase_pct","home_xg_actual","home_punches","home_high_claims","home_errors_lead_to_a_shot","home_errors_lead_to_a_goal","home_red_cards","home_penalty_saves","received_at_away","away_duels","away_fouls","away_passes","away_tackles","away_offsides","away_big_saves","away_throw_ins","away_clearances","away_free_kicks","away_goal_kicks","away_recoveries","away_big_chances","away_tackles_won","away_total_saves","away_total_shots","away_corner_kicks","away_dispossessed","away_hit_woodwork","away_yellow_cards","away_blocked_shots","away_interceptions","away_through_balls","away_total_tackles","away_expected_goals","away_accurate_passes","away_ball_possession","away_goals_prevented","away_shots_on_target","away_goalkeeper_saves","away_shots_inside_box","away_shots_off_target","away_shots_outside_box","away_big_chances_missed","away_big_chances_scored","away_final_third_entries","away_fouled_in_final_third","away_touches_in_penalty_area","away_attack","away_ball_safe","away_dangerous_attack","away_attack_pct","away_ball_safe_pct","away_dangerous_attack_pct","away_pass_accuracy_pct","away_crosses_value","away_crosses_total","away_crosses_pct","away_dribbles_value","away_dribbles_total","away_dribbles_pct","away_long_balls_value","away_long_balls_total","away_long_balls_pct","away_aerial_duels_value","away_aerial_duels_total","away_aerial_duels_pct","away_ground_duels_value","away_ground_duels_total","away_ground_duels_pct","away_final_third_phase_value","away_final_third_phase_total","away_final_third_phase_pct","away_xg_actual","away_punches","away_high_claims","away_errors_lead_to_a_shot","away_errors_lead_to_a_goal","away_red_cards","away_penalty_saves"
"Row83",8371,"2026-07-03T11:03:53.235Z",52,10,436,20,0,,20,25,12,9,50,2,70,2,11,4,10,0,0,2,16,1,20,2.56,354,45,0.26,5,2,9,4,2,1,1,36,1,28,71,78,33,15,61,24,81.2,4,14,29,10,22,45,19,50,38,16,26,62,42,85,49,55,85,65,2.52,,,,0,,,"2026-07-03T11:03:53.235Z",48,12,561,22,2,,17,14,10,6,55,1,45,2,8,2,10,0,2,3,9,0,22,0.73,476,55,-0.29,2,2,5,3,3,1,0,72,0,15,84,72,35,29,56,15,84.8,1,6,17,11,21,52,29,64,45,10,26,38,43,85,51,90,136,66,0.73,,,,1,,
"Row82",8370,"2026-07-03T07:03:53.121Z",55,6,584,19,1,2,9,19,11,7,40,5,47,5,15,9,10,1,1,4,5,0,19,2.18,532,61,0.55,3,5,10,8,5,4,1,90,2,19,102,79,61,29,34,37,91.1,6,20,30,10,23,43,20,40,50,12,20,60,41,76,54,126,160,79,2.18,,1,1,,,,"2026-07-03T07:03:53.121Z",44,12,368,23,4,0,14,19,6,14,35,4,48,2,13,5,17,1,2,2,9,1,23,1.34,311,39,-0.45,6,2,10,5,3,3,1,23,1,22,75,74,47,20,51,29,84.5,7,22,32,5,7,71,17,43,40,8,20,40,34,75,45,57,75,76,1.34,,0,0,,,
"Row81",8369,"2026-07-03T03:03:53.027Z",64,8,630,19,2,0,15,15,15,7,46,4,68,0,23,9,8,1,0,7,6,,19,2.84,570,65,0,10,0,15,6,8,1,3,53,3,51,95,65,61,25,42,33,90.5,8,22,36,7,15,47,23,35,66,12,15,80,41,68,60,138,166,83,2.84,0,1,,,,,"2026-07-03T03:03:53.027Z",36,15,346,16,5,1,7,21,8,8,44,1,50,6,5,0,8,0,1,1,7,,16,0.32,284,35,-0.57,0,6,4,4,1,1,0,29,0,11,60,69,28,23,64,13,82.1,3,13,23,5,16,31,14,37,38,3,15,20,27,68,40,42,58,72,0.32,2,1,,,,
"Row80",8368,"2026-07-02T08:03:52.435Z",57,7,415,12,3,,20,27,13,4,42,1,67,3,8,4,6,1,0,2,9,,12,0.92,346,48,0.13,2,3,6,4,2,,1,63,5,24,122,91,59,31,32,37,83.4,3,14,21,9,19,47,18,46,39,12,21,57,34,59,58,76,118,64,0.92,0,1,,0,1,,"2026-07-02T08:03:52.435Z",43,13,446,16,0,,20,28,7,11,29,0,81,0,10,3,4,0,1,3,8,,16,0.25,364,52,-1.73,3,0,5,4,5,,0,52,1,7,99,97,45,25,61,14,81.6,0,13,0,2,10,20,12,51,24,9,20,45,25,59,42,60,93,65,0.25,2,0,,2,0,
"Row79",8367,"2026-07-02T04:03:53.737Z",52,22,699,12,2,0,16,28,11,10,64,3,33,3,19,4,6,1,1,5,8,0,12,1.8,602,52,-0.15,5,3,11,9,8,0,3,72,2,38,113,92,83,25,35,40,86.1,7,26,27,9,15,60,24,49,49,27,42,64,32,72,44,130,185,70,1.8,,1,,0,,,"2026-07-02T04:03:53.737Z",48,12,639,12,2,1,19,31,22,12,60,3,33,3,19,2,7,2,1,3,11,1,12,3.53,536,48,-0.61,5,3,10,11,9,1,2,93,2,29,107,101,71,18,51,31,83.9,5,22,23,9,14,64,33,83,40,15,43,35,40,72,56,153,201,76,3.64,,2,,1,,
"Row78",8366,"2026-07-02T00:03:54.252Z",49,10,516,11,0,0,15,23,12,4,44,7,64,1,16,5,10,0,1,3,7,2,11,2.04,468,60,-0.85,7,1,13,6,3,6,1,75,4,40,81,73,82,11,28,61,90.7,9,43,21,7,17,41,18,31,58,14,23,61,30,66,45,167,198,84,2.04,0,0,,,,,"2026-07-02T00:03:54.252Z",51,12,365,20,4,2,24,36,10,16,35,1,35,5,7,3,5,1,1,2,3,0,20,0.76,299,40,-0.04,2,5,2,3,5,1,0,49,2,12,75,81,42,10,66,24,81.9,2,13,15,6,12,50,18,46,39,9,23,39,36,66,55,58,87,67,0.8,2,2,,,,
"Row77",8365,"2026-07-01T10:03:51.880Z",55,10,319,10,0,1,16,38,14,13,35,2,50,1,15,3,6,0,0,3,7,1,10,1.02,249,43,0.63,3,1,10,9,5,2,,61,1,20,81,63,38,21,51,28,78.1,4,7,57,4,9,44,28,59,47,21,33,64,28,56,50,60,103,58,1.02,2,1,,0,0,,"2026-07-01T10:03:51.880Z",45,14,407,11,1,1,22,21,10,14,33,1,73,1,7,8,4,1,3,1,5,1,11,0.73,340,57,-0.57,1,1,5,5,2,1,,73,1,19,81,69,53,23,40,37,83.5,3,25,12,7,13,54,16,52,31,12,33,36,28,56,50,89,132,67,0.73,0,0,,1,1,
"Row76",8364,"2026-07-01T05:03:52.255Z",53,14,551,13,3,1,10,23,10,8,46,6,54,3,25,9,4,2,,4,5,3,13,3.17,485,61,0.6,12,3,16,9,9,4,2,61,1,32,79,68,52,34,19,47,88,4,16,25,11,21,52,19,37,51,13,20,65,33,67,49,179,207,86,3.18,,0,,,,,"2026-07-01T05:03:52.255Z",47,10,352,14,1,3,19,26,14,8,35,0,57,9,8,1,9,0,,1,12,2,14,0.65,280,39,1.16,3,9,7,4,1,0,0,49,0,15,79,68,32,40,30,30,79.5,3,10,30,7,11,64,11,44,25,7,20,35,34,67,51,64,106,60,0.64,,1,,,,
"Row75",8363,"2026-07-01T01:03:51.824Z",55,6,401,24,2,0,16,11,7,3,44,2,75,1,14,14,6,0,0,1,4,0,24,1.36,339,47,0.03,5,1,10,9,4,1,1,38,2,48,58,50,40,15,41,44,84.5,7,29,24,7,20,35,17,38,45,11,26,42,38,63,60,101,129,78,1.36,0,,,,,,"2026-07-01T01:03:51.824Z",45,7,473,19,2,1,23,38,6,12,34,4,53,4,9,3,7,0,1,3,6,1,19,2.02,415,53,0.44,4,4,8,2,1,3,1,48,1,25,67,59,37,20,45,35,87.7,5,10,50,3,20,15,18,34,53,15,26,58,25,63,40,105,135,78,2.02,2,,,,,
"Row74",8362,"2026-06-30T09:03:51.295Z",51,18,373,18,3,1,28,21,15,8,46,1,50,5,6,5,6,0,0,3,11,0,18,0.23,293,30,1.23,2,5,4,1,2,0,1,60,0,18,72,54,38,36,36,28,78.6,3,10,30,2,15,13,16,47,34,19,30,63,34,74,46,45,92,49,0.23,0,,1,,,,"2026-06-30T09:03:51.295Z",49,15,878,19,0,0,17,35,18,5,51,5,74,1,11,8,6,1,1,2,10,3,19,1.4,800,70,-0.83,5,1,7,4,4,4,1,102,2,20,79,60,45,51,23,26,91.1,4,18,22,7,19,37,21,49,43,11,30,37,40,74,54,155,191,81,1.4,1,,0,,,
"Row73",8361,"2026-06-30T04:33:51.459Z",44,18,799,14,4,0,23,23,12,5,77,2,71,2,21,16,13,0,2,8,4,,14,1.49,719,75,-0.49,6,2,11,7,10,2,1,127,6,41,174,90,151,24,17,59,90,10,56,18,13,33,39,26,39,67,21,40,53,39,96,41,255,314,81,1.49,1,0,1,,,,"2026-06-30T04:33:51.459Z",56,12,257,33,1,1,12,54,18,14,62,3,64,6,7,6,8,0,2,2,13,,33,0.42,161,25,0.59,3,6,6,2,1,2,1,55,2,13,97,96,47,17,57,26,62.6,6,21,29,8,14,57,20,78,26,19,40,48,57,96,59,40,84,48,0.42,1,3,0,,,
