"row ID","event_id","sequence","reason","type","minute","away_score","home_score","assist","player","is_home","sequence (#1)","goal_type","player_id","added_time","player_in","player_out","player_in_id","player_out_id","length","card_type","decision","confirmed","is_manager","text","received_at","is_live"
"Row101_6",8388,5,,"injuryTime",90,,,,,,,,,,,,,,9,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_7",8388,6,,"goal",86,1,1,"L. Messi","E. Fernández",0,,"regular",387,,,,,,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_8",8388,7,,"substitution",82,,,,,1,,,,,"D. Burn","R. James",701,400,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_9",8388,8,,"substitution",82,,,,,1,,,,,"N. O’Reilly","D. Rice",847,449,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_10",8388,9,,"substitution",81,,,,,0,,,,,"L. Martínez","N. Tagliafico",1687,1107,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_11",8388,10,,"substitution",72,,,,,0,,,,,"N. Otamendi","L. Martínez",2054,1800,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_12",8388,11,,"substitution",72,,,,,0,,,,,"G. Montiel","N. Molina",23014,761,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_13",8388,12,,"substitution",72,,,,,0,,,,,"R. De Paul","G. Simeone",9057,767,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_14",8388,13,,"substitution",72,,,,,1,,,,,"E. Konsa","A. Gordon",504,711,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_15",8388,14,,"substitution",64,,,,,0,,,,,"N. González","L. Paredes",768,16872,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_16",8388,15,,"goal",55,0,1,"M. Rogers","A. Gordon",1,,"regular",711,,,,,,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_17",8388,16,,"card",51,,,,"C. Romero",0,,,720,,,,,,,"yellow",,,,,"2026-07-16T03:00:06.510Z",
"Row101_18",8388,17,,"period",45,0,0,,,,,,,,,,,,,,,,,"HT","2026-07-16T03:00:06.510Z",0
"Row101_19",8388,18,,"injuryTime",45,,,,,,,,,,,,,,3,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_20",8388,19,,"card",42,,,,"L. Martínez",0,,,1800,,,,,,,"yellow",,,,,"2026-07-16T03:00:06.510Z",
